Name,Address,Charity,Percentage,Item1,Item1Price,Item2,Item2Price,Item3,Item3Price,Item4,Item4Price,Item5,Item5Price
Rice Junky,"38487 Fremont Blvd #247, Fremont, CA 94536",Asian American Legal Defense & Education Fund,5,Cocaine Chicken Wrap,7.99,Dope Pork Wrap,7.99,Crab Hunter,4.99,RJ Poke Bowl,7.99,Noodle Nude Bowl,7.99
Sala Thai,"44800 S Grimmer Blvd, Fremont, CA 94538",Asia Foundation,10,Eggplant Salad,10.95,Seafood Salad,10.05,Tom Kha (Coconut Soup),6.95,BBQ Chicken,8.95,Vanilla Ice Cream,3
Dish N Dash,"43514 Christy St, Fremont, CA 94538",Breast Cancer Research Foundation,10,Chicken Rolls,8.25,Chicken Shawarma Salad,13.75,Mansaf,19.25,Chicken Kebab Rice,14.75,Crunchy Walnut Baklava,2.5
Ambrose Butchery,"37683 Niles Blvd, Fremont, CA 94536",Children's Health Fund,5,Crispy Chicken Sandwich,15.99,Green Goddess Salad,12,Greek Burger,16.49,Buttermilk Fried Chicken,25,Chocolate Mousse,7
De Afghanan Cuisine,"37395 Fremont Blvd, Fremont, CA 94536",Human Rights Campaign Foundation,10,Teka Kabob,15.99,Bodinjon Borani,10.99,Quabili Pallow,15.99,Baklava,3.99,Hot Tea,2
Mas Fuego Restaurant,"43968 Pacific Commons Blvd, Fremont, CA 94538",Hispanic Federation,5,Half Roasted Chicken Mole,20,Roasted Chicken Cesar Salad,19,3 Street Tacos with Avocado,15,Chicken Tortilla Soup with Avocado,11,Corona,10
Salsa Picante Mexican Restaurant,"3933 Washington Blvd, Fremont, CA 94538",Hispanic Scholarship Fund,10,Rio Grande Burrito Gratine,13.15,Steak Fajita,19,Chilaquiles Manifesto,11.65,Chef's Taco Salad,13.5,Original Mexican Churro,5
Bing's Dumpling,"34360 Fremont Blvd, Fremont, CA 94555",Prevent Child Abuse America (National Office),10,Noodle with Pork in Soybean Paste Sauce ,8.95,Steamed Vegetable Dumpling (8 个),9.5,Spicy Cucumber Salad,4.99,Braised Beef Noodle Soup  ,8.95,Coke/Sprite/Dr. Pepper,1.5
Pho Cravin',"6052 Stevenson Blvd, Fremont, CA 94538",American Lung Association,5,Pho Kobe Beef,16.99,Porkchop Rice Plate,14.95,Egg Rolls,5.95,Spring Rolls,7.5,Thai Iced Tea,3.5
Vons Chicken,"5010 Mowry Ave, Fremont, CA 94538",Prostate Cancer Foundation,5,1/2 Crispy Fried Chicken,14.49,1/2 Crispy Yangnyeom Chicken,15.49,Garlic Chicken Full,27.99,Chicken Salad,11.99,French Fries,4.99
King of Thai Noodles House,"34787 Ardenwood Blvd Fremont, CA 94555",Human Rights First,10,Pad Thai Noodle,12.95,Fried Chicken Over Fried Rice,12.95,Papaya Salad,11.95,Panang Curry,12.95,Thai Iced Tea,3.95
Taqueria Limon,"39494 Fremont Blvd  Fremont, CA 94538",Mental Health America (MHA),5,Carne Asada Dinner,12.99,Super Burrito,9.25,Super Taco,3.79,Torta ,6.99,Mex Soda,2.49
Papillon,"37296 Mission Blvd  Fremont, CA 94536",Center for Reproductive Rights,15,Seafood Wellington,29.5,Classic Beef Wellington,39.95,American Kobe Beef Short Rib,33.5,Roasted Rack of Lamb,44.5,Papillon Housemade Cheesecake,7.95
Madhuram,"36472 Fremont Blvd  Fremont, CA 94536",American Brain Tumor Association,10,Malabar Fish Curry,13.99,Butter Chicken,13.99,Chicken Tikka Masala,11.99,Kappa,3.99,Paayasam,3.99
Campo Di Bocce of Fremont,"4020 Technology Pl Fremont, CA 94538",Action Against Hunger-USA,10,Meatball Sandwich,14,Impossible Burger,18,Spaghetti,16,House Salad,10,Rib Eye Steak,30
Factory Tea Bar,"46461 Mission Blvd Fremont, CA 94539",Scholarship America,5,Nom Nom Green Tea,4.25,Rose Milk Tea,4.25,Thai Milk Tea,4.25,Popcorn Chicken Original,5.95,Honey Wings,5.95
Rangoli Flavors Of India,"43852 Pacific Commons Blvd  Fremont, CA 94538",Asia Foundation,10,Butter Chicken,17,Peshawari Chicken Tikka,14,Bread Basket,14,Paneer Akbari,17,Chicken Soup,8
Mingala Restaurant,"46999 Warm Springs Blvd  Fremont, CA 94539",Ovarian Cancer Research Alliance,10,Laphat Thoke Burmese Tea Leaf Salad,11.99,Mohinga,12.99,Beef Rendang,11.99,Ohn Noh Kaut Swell,12.99,Roti Pratha,5.29
The Gokool,"81 Fremont Hub Courtyard Fremont, CA 94538",Foundation for AIDS Research (amfAR),5,Mili Juli Sabji,10,Paneer Tikka Masala,11,Jira Rice,4,Samosa Chaat,6,Vadapav Bites,5
Aniki's Sushi,"3810 Mowry Ave Fremont, CA 94538",Environmental Defense Fund,10,Omg Roll,19.2,Crab Salad,5.3,Chicken Teriyaki,10.95,Beef Bulgogi ,19.55,Seafood Udon,15.95
Mediterranean Bite,"39140 Paseo Padre Pkwy Fremont, CA 94538",National Wildlife Federation,15,Chicken Shawarma Bowl,8.49,Beef Shawarma Bowl,8.99,Falafel Wrap,6.99,Baklava,1.99,Coconut Water,2.99
Le Moose Crepe Cafe,"5014 Mowry Ave  Fremont, CA 94538",American Red Cross,10,Crab Meat Fried Rice,14.95,Roasted Duck Noodle Soup,13.95,Spicy Catfish,16.95,Garlic Shrimp,14.95,Pasta Salad,6
Veg N Chaat Cuisine,"5168 Mowry Ave Fremont, CA 94538",Crohn's & Colitis Foundation,5,Bombay Vada Pav,3.99,Paneer Tikka Masala,9.99,Dahi Papdi Chaat,5.99,Gobi Manchurian Dry,9.99,Veg Manchow Soup,5.99
The Port Of Peri Peri,"3283 Walnut Ave Fremont, CA 94538",National Alliance to End Homelessness,15,Original Platter,39.54,1/2 Chicken,16.74,Wings Platter,39.54,Kid's 3 Wings,9.54,Brownie,3.19
Sweet Garden,"39473 Fremont Blvd Fremont, CA 94538",Children's Health Fund,10,Chicken Katsu Combo,10.75,BBQ Chicken Combo,10.75,Chicken Avocado Salad,5.5,Curry Beef Stew Combo,12.75,Garlic Noodle,5.5
Fremont Afghan Kabob,"5379 Mowry Ave Fremont, CA 94538",Animal Welfare Institute,10,Chicken Kabob,14.99,Korma Lamb,15.99,Chapli Kabob,14.99,Bolani Potato,11.99,Chai Tea ,1.99
"Falafel, Etc","39200 Fremont Blvd Fremont, CA 94538",National Federation of the Blind,5,Falafel Sandwich,8,Falafel Plate,13.2,Chicken Shawarma Sandwich,8,Chicken Kabob Plate,13.6,Torteet,2
Green Champa Garden,"42318 Fremont Blvd Fremont, CA 94538",American Civil Liberties Union (ACLU) Foundation,10,Nam Kao,9.95,Papaya Salad (Thai Style),10.95,Pad Thai,11.95,Drunken Noodles,11.95,Thai Tea,4
KA YuMi Diner,"40645 Fremont Blvd Ste 8 Fremont, CA 94538",Homes For Our Troops,10,Fried Chicken,12,Kimchi Fried Rice,13,Seafood Tofu Soup,15,Soy Garlic Chicken (8 Pc),10,Spicy Chicken Feet,14
Banh Thai Restaurant,"39060 Fremont Blvd Fremont, CA 94538",Autism Society of America (National Office) & Foundation,5,Yellow Curry,11.95,Red Curry,11.95,Pad Kee Mao,10.95,Mango Chicken,12.95,Sweet Roti,7.5
Gaters,"3846 Mowry Ave Fremont, CA 94538",American Foundation for Suicide Prevention,10,Combo Kabob Plate,13.99,Chicken Wrap with Fries,8.49,Steak Gyro with Fries,9.73,Falafel Wrap,7.99,Greek Salad,6.74
Eastern Winds Chinese Restaurant,"40723 Grimmer Blvd Fremont, CA 94538",Prevent Cancer Foundation,15,Orange Chicken,11.95,Mongolian Beef,12.95,Sesame Chicken ,11.95,Sweet and Sour Pork,9.95,Broccoli Beef,12.95
Bongo's,"39407 Fremont Blvd Fremont, CA 94538",ChildFund International,10,Mishti Doi,3.99,Paratha,2.99,2 Piece Fish Chop,5.99,Chicken Roast ,8.99,Goat Biryani,14.99
Market Broiler - Fremont,"43406 Christy St Pacific Commons Shopping Ct Fremont, CA 94538",Prevent Child Abuse America (National Office),10,Clam Chowder,6,Lobster-Crab Cakes,15,Coconut Shrimp,8,Hawaiian Poke,8,House Burger and Fries,9
