review_id,user_id,business_id,text,stars,date
V93SYj2OLh5m9Cquzf-7kg,ZwVz20be-hOZnyAbevyMyQ,2c9Vptks_vowLgVUMnCgjw,Came here while in town for a country concert.  What better way to start our day.  Everything was great.  The service was amazing from the time we walked in the door.  We were sat at a table and to our surprise there is a beer and whiskey tap at the table.  You pay by the ounce and there is a screen to show you what you've drank.  The food we had was great.  The whiskey burger was my favorite.  For you country fans this is a must when in Scottsdale!,4,2013-09-04 1:29
vNTFadc6T9HeH3Qa78dc_Q,91TB-gzcNyxFh46TL0pmnQ,6nKR80xEGHYf2UxAe_Cu_g,"Best barbecue this side of the Mississippi!!!! Come here your car washed and detailed pick up some Petroleum, and slap your lips around the best barbecue you've had in Arizona!!! Hot diggity !!!",5,2015-12-05 2:50
SXRFBCt5eXCBF7TlI7UG6Q,Y_QBiZpATJoz8hKUfYF66A,fbQaKW0Lte0JQ_opbnjdKg,"Absolutely amazing. Think Chipotle for enchiladas. Nice patio, plenty of room inside. The food is really amazing. The prices are great. If you're not in the area it's actually worth the trip. 

I ordered 2 chicken enchiladas. I'll be back to try the tacos!",5,2014-04-01 1:56
CqMNjtG0hNZGhDw4RDE-zw,_Jg-IA0M-GSjBlGu-wmejg,r8764MtYyt8JhxMvrfM_xQ,"I was really disappointed with my most recent visit to Vintage 95. I make it out there every six months or so and always talk it up to friends. Tonight I went with my husband and in-laws. We ordered a carafe of sangria, which as always was top notch. My in-laws ordered bruschetta - they ended up with a ton of untoasted bread with a very thin coat of ricotta and a light topping of good quality tomatoes. Tasty but not bruschetta and definitely not worth $14. My husband and I got the ""artisan board"" with one meat and one cheese. For $13, we got a teeny tiny piece of cheese, four thin slices of not-so-good sopressata, stale bread, 2 crackers, raw unsalted almonds, six grapes, and about half a jar of very oniony cornichons! The food was a huge rip-off, and not at all the quality or quantity we have gotten in the past. The saving grace of the night was the sangria, which I still think is one of the best in the area. But overall, I don't think this place is worth a trip out anymore.",2,2014-10-11 3:53
5hZLouGEW4wm6BTJ5aNUNw,1CqkFliipv_X15WYn5aPfg,QS3QxI7u5PRdtbGgI0-UsA,"I grade sushi restaurants on 3 factors:
- Quality - Excellent. No fishy smell on my food or in the restaurant. Delicious. Rolls were well made and tasty!
- Quantity - I walked out STUFFED from eating the $9.99 lunch special.
- Price - Can't beat $10 for lunch, especially this much good sushi.

But the takeout side of things was not as good.
The teeny tiny salad had wilted lettuce. The takeout version of the Sakana lunch does not include miso soup, although the price is the same, and they did not include chopsticks, napkins, or soy sauce.",4,2015-03-04 19:36
MQShBPlmJsmmGSwe1DzKMQ,lZmfLRHJTCxxkq8wlKONlA,1QJFpZxLbHbXSKohWp9uIA,Large portions. Great bread sticks. Chicken parmesan was top quality.,5,2011-01-09 2:58
avYeZN-b1T3YiKRj-Y-LcA,cgRKSmpD7dEWREKI_jZriw,S-oLPRdhlyL5HAknBKTUcQ,"Love sushi and great service? ? Well this place is perfect for that.  Unpretentious,  delicious super relaxed atmosphere.  Went here for lunch after someone recommended it.  The to go boxes are yummy,  my fav was the purple looking roll with crunchy stuff on top of it.  We got complimentary soup, adamame and ice cream. The service was superb!",5,2014-08-24 19:53
HJw8MORgUuQb2nZfUFlO6Q,Ysqfg2Ah_i3mBCxWHCFBhA,ecJri9ozyke4dOCWulZiRQ,"I'm such a fan!  Our Nishikawa Black Ramen bowl was everything I hope it would be in this chilly, rainy winter evening after a day spent hiking in the rain.  It was rich and deep, full of interesting flavors and textures and all the umami I dreamed of.  

The spring rolls and gyoza were also yummy but the star of the show was definitely ramen.

It was soooo busy tonight, we were seated fairly quickly and our food came out fast.  Our waitress forgot our drink orders and didn't really check on us but I'm sure she saw we were busy slurping our noodles.  The restaurant is clean and small.  The prices are good!

If you're looking for a good ramen spot, go!  I'll be back soon.  It was incredible!",5,2018-01-21 4:59
#NAME?,eXB51S2eFWPTYLnJIqLW5Q,Q0EZmATxDphzRMszNV2LVg,"My friend and I went here after church.  I had been to a Wildflower in Flagstaff, years ago.  I had breakfast; eggs, two sausage links, potatoes and coffee.  The coffee was Guatemalan, and was killer good.  Eggs were scrambled perfectly.  The sausages were huge, and VERY good, but a bit too spicy for me (I'm a wimp).  I ate the better part of one sausage before I had to stop.  But the star of the breakfast was the potatoes - chunky with rosemary and sea salt.  So simple, yet SO delicious.  I will get the breakfast with bacon next time, as they serve applewood smoked.  The toast was their 9-grain, and it was so good, I bought a loaf.  And they used real butter on the bread!  This is the location we will come back to!",5,2015-01-03 22:07
1MpjYmIZRQ7xvmR8nfzytA,1mPiUKavJz5vg7djrIer7Q,VdlPZg2NAu8t8GkdbPLecg,"Great food.  Had the Chicken Curry lunch special that included the potato soup, salad, naan, chicken curry and rice.  Service was great...",5,2016-01-04 3:51
